"Object Storage Settings","对象存储设置"
"Create a second private bucket in Indonesia (Jakarta) for backups. Do not reuse the attachment bucket. Create a Backups profile with a backups-only prefix if required.","在 Indonesia (Jakarta) 创建第二个私有 Bucket 专用于备份，不要复用附件 Bucket；再创建用途为 Backups 的配置档，必要时设置备份专用前缀。"
"A separate Jakarta bucket is linked to a profile whose purpose is Backups.","独立的雅加达 Bucket 已关联到用途为 Backups 的配置档。"
"Bucket names are globally unique. Choose another name if OSS reports that the name already exists.","Bucket 名称全球唯一；如提示名称已存在，请更换名称。"
"For each bucket, open Permission Control > Access Control List and keep Private. Open Block Public Access and enable it. Do not add anonymous bucket policies, public-read ACLs, CDN origins, or browser CORS upload rules.","对每个 Bucket 打开 Permission Control > Access Control List 并保持 Private；打开 Block Public Access 并启用。不要添加匿名 Bucket Policy、public-read ACL、CDN 源站或浏览器直传 CORS 规则。"
"Both profiles confirm Private and Block Public Access, with no public access path.","两个配置档均确认 Private 与 Block Public Access，且不存在公网访问路径。"
"Remove any public ACL or anonymous policy first. The app never changes bucket ACL or Block Public Access for you.","请先移除所有公共 ACL 或匿名策略；本应用不会代替你修改 Bucket ACL 或 Block Public Access。"
"Open each profile and click Alibaba Cloud > Generate RAM Policy. In RAM Console, open Permissions > Policies > Create Policy, choose Script, paste the JSON, and create one policy for attachments and one for backups.","分别打开两个配置档，点击 Alibaba Cloud > Generate RAM Policy。在 RAM Console 打开 Permissions > Policies > Create Policy，选择 Script，粘贴 JSON，分别创建附件策略与备份策略。"
"Policies contain only object operations; the backup policy also contains prefix-restricted ListObjects.","策略仅包含对象操作；备份策略额外包含受前缀限制的 ListObjects。"
"Do not replace the generated actions with oss:* and do not add bucket-management actions.","不要把生成的 Action 替换为 oss:*，也不要添加 Bucket 管理权限。"
"In RAM Console, open Identities > Roles > Create Role. Choose Alibaba Cloud Service as trusted entity and Elastic Compute Service as the trusted service. Attach both generated custom policies to this role.","在 RAM Console 打开 Identities > Roles > Create Role；受信实体选择 Alibaba Cloud Service，受信服务选择 Elastic Compute Service；把生成的两个自定义策略绑定到该角色。"
"The ECS service role lists both least-privilege policies under Permissions.","ECS 服务角色的 Permissions 中能看到两个最小权限策略。"
"A RAM user is not an ECS instance role. Confirm the role trust type is Alibaba Cloud Service / ECS.","RAM User 不是 ECS 实例角色；请确认角色信任类型为 Alibaba Cloud Service / ECS。"
"In ECS Console, select Indonesia (Jakarta), open Instances, select the ERPNext instance, then choose More > Instance Settings > Bind/Replace RAM Role and select the role created above.","在 ECS Console 选择 Indonesia (Jakarta)，打开 Instances，选择 ERPNext 实例，再点 More > Instance Settings > Bind/Replace RAM Role，选择上一步创建的角色。"
"The ECS instance details show the expected RAM Role and no AccessKey is stored in ERPNext production settings.","ECS 实例详情显示正确 RAM Role，ERPNext 生产配置中不保存 AccessKey。"
"If credentials cannot be loaded, verify the role is bound to this exact ECS instance and that instance metadata access is available.","如无法加载凭证，请确认角色绑定的是当前 ECS 实例，并且实例元数据服务可访问。"
"On each Alibaba Cloud OSS profile, click Apply Jakarta ECS Defaults. Keep region ap-southeast-5, enable Use Internal Endpoint, and use https://oss-ap-southeast-5-internal.aliyuncs.com.","在每个 Alibaba Cloud OSS 配置档点击 Apply Jakarta ECS Defaults；地域保持 ap-southeast-5，启用 Use Internal Endpoint，并使用 https://oss-ap-southeast-5-internal.aliyuncs.com。"
"Both Alibaba profiles use the Jakarta internal endpoint from an ECS instance in the same region.","两个阿里云配置档都从同地域 ECS 使用雅加达内网 Endpoint。"
"Internal endpoints do not work from a laptop or a different region. Use AccessKey and a public HTTPS endpoint only for an isolated development profile.","内网 Endpoint 无法从个人电脑或其他地域访问；只有隔离的开发配置档才使用 AccessKey 与公网 HTTPS Endpoint。"
"Open each profile and run Full Read/Write Test. It checks credential initialization, Put, Head, Get, byte Range, object tags, Delete, and confirmation that the test object is gone.","打开每个配置档并运行 Full Read/Write Test；系统将检查凭证初始化、Put、Head、Get、字节 Range、对象标签、Delete，以及确认测试对象已删除。"
"Every production profile shows Passed and a recent test time. No test object remains.","每个生产配置档均显示 Passed 和最新测试时间，且不遗留测试对象。"
"Open Last Test Details. Authorization errors usually mean the RAM role or policy is wrong; Not Found usually means bucket, region, or endpoint is wrong.","查看 Last Test Details；Authorization 通常表示 RAM Role 或策略错误，Not Found 通常表示 Bucket、地域或 Endpoint 错误。"
"In the backup bucket, open Data Management > Lifecycle > Create Rule. Filter by the configured backup prefix. Set IA at 7 days, Archive at 30 days, Cold Archive at 90 days, and Expiration at 365 days, then save and review the rule.","在备份 Bucket 打开 Data Management > Lifecycle > Create Rule；按已配置的备份前缀过滤，设置 7 天转 IA、30 天转 Archive、90 天转 Cold Archive、365 天 Expiration，然后保存并复核。"
"The rule targets only the backup prefix and shows 7 / 30 / 90 / 365 day actions.","规则只作用于备份前缀，并显示 7 / 30 / 90 / 365 天动作。"
"Do not apply this rule to the attachment prefix. The app provides guidance but never creates or changes OSS lifecycle rules.","不要把该规则应用到附件前缀；本应用只提供指导，不会创建或修改 OSS 生命周期规则。"
"Use a non-sensitive archived test backup. Create an Object Restore Request, wait for Requested > Restoring > Ready, download it through Frappe, verify a byte-range response, then record the drill result and expiry time.","使用不含敏感信息的归档测试备份；创建 Object Restore Request，等待 Requested > Restoring > Ready，通过 Frappe 下载并验证字节 Range 响应，然后记录演练结果与过期时间。"
"The request reaches Ready, the content downloads correctly through Frappe, and later changes to Expired.","请求进入 Ready，内容可通过 Frappe 正确下载，之后状态变为 Expired。"
"If it stays Restoring, check the selected restore tier and OSS restore header. If it fails, review the request error category and RAM RestoreObject permission.","如一直停留在 Restoring，请检查恢复速度等级与 OSS restore header；如失败，请查看请求错误分类和 RAM RestoreObject 权限。"
"After all applicable steps pass, enable Attachment Object Storage and/or Backup Object Storage. Save Settings, upload a small attachment, run Backup Now, then verify both objects and tags in OSS Console.","所有适用步骤通过后，启用 Attachment Object Storage 和/或 Backup Object Storage；保存设置，上传一个小附件，运行 Backup Now，然后在 OSS Console 核对对象与标签。"
"New attachments and backups use their separate enabled profiles; downloads remain proxied through Frappe.","新附件和备份分别使用独立且已启用的配置档，下载始终经 Frappe 代理。"
"If Save is blocked, complete the profile Full Test, bucket safety confirmations, and lifecycle review first.","如无法保存，请先完成配置档 Full Test、Bucket 安全确认和生命周期复核。"
"Attachment Lifecycle","附件生命周期"
"Attachment Lifecycle Guide","附件生命周期向导"
"Attachment Bucket Lifecycle (Last Modified)","附件 Bucket 生命周期（按最后修改时间）"
"Move Attachments to IA After (Days)","附件多少天后转 IA"
"Move Attachments to Archive After (Days)","附件多少天后转 Archive"
"Move Attachments to Cold Archive After (Days)","附件多少天后转 Cold Archive"
"Delete Attachments After (Days)","附件多少天后删除"
"Attachment Lifecycle Rule Reviewed","已复核附件生命周期规则"
"Backup Bucket","备份 Bucket"
"Backup Bucket Lifecycle","备份 Bucket 生命周期"
"Days after the object was last modified before the OSS rule moves matching attachments to IA.","对象最后修改后多少天，OSS 规则将匹配的附件转为 IA。"
"Days after the object was last modified before the OSS rule moves matching attachments to Archive.","对象最后修改后多少天，OSS 规则将匹配的附件转为 Archive。"
"Days after the object was last modified before the OSS rule moves matching attachments to Cold Archive.","对象最后修改后多少天，OSS 规则将匹配的附件转为 Cold Archive。"
"0 means never delete attachments automatically. Set a positive value only after business approval, and keep it greater than Cold Archive days.","0 表示永不自动删除附件；只有业务批准后才设置正数，并且必须大于 Cold Archive 天数。"
"Confirm that the Attachment Bucket lifecycle rule was created and reviewed in Alibaba Cloud OSS.","确认已在国际阿里云 OSS 创建并复核 Attachment Bucket 生命周期规则。"
"Configure Attachment Long-Term Cold Storage","配置附件长期冷存储"
"After all applicable steps pass, enable Attachment Object Storage and/or Backup Object Storage. Save Settings, upload a small attachment, run Backup Now, then verify the separate buckets, prefixes, object tags, and lifecycle rules in OSS Console.","所有适用步骤通过后，启用 Attachment Object Storage 和/或 Backup Object Storage。保存设置，上传小附件，运行 Backup Now，然后在 OSS Console 核对独立 Bucket、前缀、对象标签和生命周期规则。"
"If Save is blocked, complete the profile Full Test, bucket safety confirmations, and the applicable Attachment Bucket or Backup Bucket lifecycle review first.","如无法保存，请先完成配置档 Full Test、Bucket 安全确认，以及适用的 Attachment Bucket 或 Backup Bucket 生命周期复核。"
"In Progress","进行中"
"Review Confirmations","复核确认"
"Retention Rules Reviewed","已复核保留规则"
"Restore Settings Reviewed","已复核恢复设置"
"Attachment Setup Help","附件配置说明"
"Backup Setup Help","备份配置说明"
"Classification Help","分类说明"
"Classification Actions","分类操作"
"Restore Help","恢复说明"
"Rule Name","规则名称"
"Built-in Rule","内置规则"
"Default Rule Key","默认规则标识"
"Use This Profile in Settings","在设置中使用此配置档"
"Profile linked to Object Storage Settings.","配置档已关联到对象存储设置。"
"Open Profiles","打开配置档列表"
"Preview Classification","预览分类"
"Recalculate Classification","重新计算分类"
"Open Unclassified Files","打开未分类文件"
"Reset to Default Rules","重置为默认规则"
"Update built-in rules to their defaults? Custom rules will be kept.","是否把内置规则更新为默认值？管理员自定义规则会保留。"
"File Policy","文件策略"
"Shared Object Policy","共享对象策略"
"Source","来源"
"Queued classification for {0} object-backed Files.","已将 {0} 个对象存储文件加入分类队列。"
"Configuration changed. Run the Full Read/Write Test again.","配置已改变，请重新运行完整读写测试。"
"Check Download / Restore","检查下载/恢复"
"Archived attachment requires restore","归档附件需要恢复"
"Storage Class","存储类型"
"Restoring creates a temporary readable copy and may incur provider request and retrieval charges.","恢复会生成临时可读副本，并可能产生云服务请求与数据取回费用。"
"Active request","活动恢复请求"
"Request Restore","申请恢复"
"Open Restore Request","打开恢复请求"
"Refresh Now","立即刷新"
"File Name","文件名"
"Provider Submitted","已提交给云服务"
"Attempts","尝试次数"
"Last Notified Status","最近已通知状态"
"Create and Link the Attachment Bucket Profile","创建并关联附件 Bucket 配置档"
"In International Alibaba Cloud OSS Console, create a private Standard bucket in Indonesia (Jakarta). In ERPNext create an Attachments profile, save it, complete its test, enable it, then click Use This Profile in Settings.","在国际阿里云 OSS Console 创建 Indonesia (Jakarta) 地域、Standard 类型、Private ACL 的 Bucket。在 ERPNext 创建 Attachments 配置档，保存、完成测试并启用，然后点击 Use This Profile in Settings。"
"The profile is linked under Attachments, its safety confirmations are checked, and its current Full Test is Passed.","配置档已关联到 Attachments，安全确认已勾选，且当前配置的 Full Test 为 Passed。"
"If the bucket is not visible, confirm the International console and Jakarta region. A saved but incomplete profile is In Progress, not Passed.","如果看不到 Bucket，请确认使用国际站控制台和 Jakarta 地域。已保存但未完成的配置档显示 In Progress，不会显示 Passed。"
"Create and Link the Backup Bucket Profile","创建并关联备份 Bucket 配置档"
"Create a second private Jakarta bucket only for backups. Create a Backups profile, run its test, enable it, and link it to Settings. Never reuse the attachment bucket.","创建第二个 Jakarta 私有 Bucket 专用于备份。创建 Backups 配置档，运行测试、启用并关联到 Settings；禁止复用附件 Bucket。"
"A separate tested Backups profile and bucket are linked under Backup Bucket.","独立且已测试的 Backups 配置档与 Bucket 已关联到 Backup Bucket。"
"Bucket names are globally unique. If creation fails, choose a different name; if Save fails, check Purpose and the attachment bucket name.","Bucket 名称全球唯一；创建失败时更换名称，保存失败时检查 Purpose 以及是否误用了附件 Bucket。"
"Make Both Buckets Private and Enable Block Public Access","将两个 Bucket 设为私有并开启 Block Public Access"
"For each bucket open Permission Control > Access Control List, select Private, then enable Block Public Access. Remove anonymous policies, public-read ACLs, CDN origins, and browser-upload CORS rules.","分别打开两个 Bucket 的 Permission Control > Access Control List，选择 Private，再启用 Block Public Access；移除匿名策略、public-read ACL、CDN 源站和浏览器上传 CORS 规则。"
"Both profiles confirm Private and Block Public Access, with no public browser path.","两个配置档均确认 Private 和 Block Public Access，且不存在浏览器公网路径。"
"The app does not change bucket security. Correct it in OSS Console, then check both confirmations on each profile.","应用不会修改 Bucket 安全设置；请先在 OSS Console 修正，再在两个配置档勾选确认。"
"Generate and Review Two Least-Privilege RAM Policies","生成并复核两份最小权限 RAM 策略"
"Open each Alibaba profile and choose Alibaba Cloud > Generate RAM Policy. In RAM Console open Permissions > Policies > Create Policy > Script, paste the JSON, and create one policy per bucket.","分别打开阿里云配置档并选择 Alibaba Cloud > Generate RAM Policy。在 RAM Console 打开 Permissions > Policies > Create Policy > Script，粘贴 JSON，为每个 Bucket 创建一份策略。"
"The attachment policy has no ListObjects; the backup ListObjects permission is restricted to its prefix. Neither policy contains oss:*.","附件策略不含 ListObjects；备份 ListObjects 权限受 Prefix 限制；两份策略都不含 oss:*。"
"Generate the policy again after changing bucket, prefix, classification, delete, or restore settings.","修改 Bucket、Prefix、分类、删除或恢复设置后，请重新生成策略。"
"Create One ECS Service RAM Role and Attach Both Policies","创建一个 ECS 服务 RAM Role 并绑定两份策略"
"In RAM Console open Identities > Roles > Create Role. Choose Alibaba Cloud Service and Elastic Compute Service as the trusted service, then attach both generated custom policies.","在 RAM Console 打开 Identities > Roles > Create Role；选择 Alibaba Cloud Service，并以 Elastic Compute Service 为受信服务，然后绑定生成的两份自定义策略。"
"The ECS service role lists both least-privilege policies under Permissions.","ECS 服务角色的 Permissions 中列出两份最小权限策略。"
"A RAM user is not an ECS instance role. Confirm the trusted entity is Alibaba Cloud Service / ECS.","RAM User 不是 ECS 实例角色；确认受信实体为 Alibaba Cloud Service / ECS。"
"Bind the RAM Role to the Jakarta ECS Instance","将 RAM Role 绑定到 Jakarta ECS 实例"
"In ECS Console select Indonesia (Jakarta), open Instances, select the ERPNext instance, then choose More > Instance Settings > Bind/Replace RAM Role.","在 ECS Console 选择 Indonesia (Jakarta)，打开 Instances，选择 ERPNext 实例，再选择 More > Instance Settings > Bind/Replace RAM Role。"
"The ECS details show the expected role and production profiles store no AccessKey.","ECS 详情显示正确角色，生产配置档不保存 AccessKey。"
"If credentials cannot load, verify the exact ECS binding, container access to 100.100.100.200, and IMDSv2.","如无法加载凭证，请检查当前 ECS 的角色绑定、容器到 100.100.100.200 的访问以及 IMDSv2。"
"Apply the Jakarta Internal Endpoint","应用 Jakarta 内网 Endpoint"
"On each Alibaba profile click Apply Jakarta ECS Defaults. Keep region ap-southeast-5, Use Internal Endpoint enabled, and https://oss-ap-southeast-5-internal.aliyuncs.com.","在每个阿里云配置档点击 Apply Jakarta ECS Defaults；保持 region 为 ap-southeast-5，启用 Use Internal Endpoint，并使用 https://oss-ap-southeast-5-internal.aliyuncs.com。"
"All production Alibaba profiles use the Jakarta internal endpoint from same-region ECS.","所有生产阿里云配置档均从同地域 ECS 使用 Jakarta 内网 Endpoint。"
"The internal endpoint does not work from a laptop or another region. Use a Development profile and public HTTPS endpoint for isolated local testing.","内网 Endpoint 无法从个人电脑或其他地域访问；隔离的本地测试应使用 Development 配置档和公网 HTTPS Endpoint。"
"Run Current Full Read/Write Tests","运行当前配置的完整读写测试"
"Open each profile and click Test > Run Full Read/Write Test. Enabled capabilities test Put, Head, Get, Range, tags, Delete, and List as applicable; disabled capabilities show Skipped.","打开每个配置档并点击 Test > Run Full Read/Write Test。系统按启用能力测试 Put、Head、Get、Range、Tags、Delete 和 List；未启用能力显示 Skipped。"
"Both profile tests are Passed for their current configuration fingerprints.","两个配置档当前配置指纹对应的测试均为 Passed。"
"Open Last Test Details. Authorization points to RAM; Not Found points to bucket/region; Network points to VPC, endpoint, or metadata access.","查看 Last Test Details：Authorization 通常指向 RAM，Not Found 指向 Bucket/Region，Network 指向 VPC、Endpoint 或元数据访问。"
"Review Deterministic Attachment Classification","复核确定性附件分类"
"Open Retention Classification, review the seeded rules and custom rules, Preview representative Files, then run Recalculate. Unmatched or unknown attachments must remain unclassified.","打开 Retention Classification，复核内置和自定义规则，预览代表性 File，再运行 Recalculate；未命中或未知附件必须保持 unclassified。"
"Only deterministic business-archive matches receive the cold-storage tag; permanent-hot, business-online, and unclassified remain protected from this archive rule.","只有确定命中 business-archive 的附件才获得冷存储标签；permanent-hot、business-online 和 unclassified 不受该归档规则影响。"
"Resolve invalid DocType fields and conflicting priorities. Use the Unclassified list to find items needing an explicit rule.","修正无效 DocType 字段和同优先级冲突；使用 Unclassified 列表查找需要明确规则的文件。"
"In the Attachment Bucket open Data Management > Lifecycle > Create Rule. Filter by tag retention=business-archive. Use the reviewed 30 / 90 / 365 day IA / Archive / Cold Archive values and leave Expiration disabled by default.","在 Attachment Bucket 打开 Data Management > Lifecycle > Create Rule，按标签 retention=business-archive 过滤；使用已复核的 30 / 90 / 365 天 IA / Archive / Cold Archive 设置，默认关闭 Expiration。"
"Only tagged business-archive attachment objects transition; unclassified stays Standard and attachment deletion remains disabled at 0 days.","只有带 business-archive 标签的附件对象会转换；unclassified 保持 Standard，附件删除天数 0 表示不自动删除。"
"Check File Object Tag Status, the exact retention tag, and that the rule is in the Attachment Bucket rather than the Backup Bucket.","检查 File 的 Object Tag Status、准确的 retention 标签，并确认规则位于 Attachment Bucket 而非 Backup Bucket。"
"Configure the Independent Backup Lifecycle Rule","配置独立的备份生命周期规则"
"In the Backup Bucket create a lifecycle rule filtered only by the Backups profile prefix. Review IA 7, Archive 30, Cold Archive 90, and Expiration 365 days.","在 Backup Bucket 创建只按 Backups 配置档 Prefix 过滤的生命周期规则，复核 IA 7 天、Archive 30 天、Cold Archive 90 天和 Expiration 365 天。"
"The rule targets only backup objects and does not match attachment tags or prefixes.","该规则只作用于备份对象，不匹配附件标签或前缀。"
"Choose one primary deletion policy. Set Application Backup Retention to 0 if OSS Lifecycle alone owns expiration.","请选择一个主要删除策略；如果完全由 OSS Lifecycle 负责过期删除，请把 Application Backup Retention 设为 0。"
"Review Restore Permissions and Complete an Attachment Drill","复核恢复权限并完成附件恢复演练"
"Review allowed roles, tier, restored-copy days, 15-minute polling, cost guidance, and notifications. Use a non-sensitive archived attachment to verify Requested > Restoring > Ready > Expired and a Range download.","复核允许角色、Tier、恢复副本天数、15 分钟轮询、费用提示和通知；使用非敏感归档附件验证 Requested > Restoring > Ready > Expired 及 Range 下载。"
"Restore Settings Reviewed and Restore Drill Completed are checked. Backup recovery remains a System Manager runbook.","Restore Settings Reviewed 和 Restore Drill Completed 已勾选；备份恢复仍由 System Manager 按 Runbook 执行。"
"If it remains Restoring, inspect Last Checked At and the provider restore header. Failed requests show a normalized category and can be retried by System Manager.","若一直处于 Restoring，请检查 Last Checked At 和云端 restore header；Failed 请求显示统一错误分类，并可由 System Manager 重试。"
"Enable and Verify Production Features","启用并验证生产功能"
"Enable Attachment Object Storage and/or Backup Object Storage only after applicable cards pass. Upload and download a small attachment, run Backup Now, then inspect the separate buckets, prefixes, tags, and lifecycle matches.","仅在适用卡片通过后启用附件和/或备份对象存储；上传并下载一个小附件，运行 Backup Now，再检查独立 Bucket、Prefix、Tags 和生命周期匹配。"
"New attachments and backups use separate ready profiles; downloads remain proxied through Frappe and no provider URL is exposed.","新附件和备份使用独立且就绪的配置档；下载继续由 Frappe 代理，不暴露云服务 URL。"
"If Save is blocked, re-open the named profile or review card. A configuration change invalidates the previous Full Test and safely disables that profile.","如果保存被阻止，请重新打开提示的配置档或复核卡片；配置变化会使旧 Full Test 失效并安全禁用该配置档。"
"Use Object Storage Settings as the starting point. International Alibaba Cloud console menu names stay in English so Chinese administrators can find the exact controls.","请从 Object Storage Settings 开始配置；国际阿里云控制台菜单名保留英文，方便中国管理员准确定位。"
"Create Attachments Profile","创建附件配置档"
"Create Backups Profile","创建备份配置档"
"Open Attachments Profile","打开附件配置档"
"Open Backups Profile","打开备份配置档"
"Built-in rules were updated. Custom rules were kept; review the result before enabling classification.","内置规则已更新，自定义规则已保留；启用分类前请复核结果。"
"Setup Assistant","配置助手"
"Cloud Security Confirmation","云安全确认"
"Backups","备份"
"Automatic Attachment Classification","附件自动分类"
"Long-term Attachment Cold Storage","附件长期冷存储"
"Database Backup","数据库备份"
"Local Public Files Folder Backup","本地公共文件目录备份"
"Local Private Files Folder Backup","本地私有文件目录备份"
"Keep OSS Database Backups For (Days)","OSS 数据库备份保留天数"
"Optional OSS Backup Lifecycle (Advanced)","可选 OSS 备份生命周期（高级）"
"Use Optional OSS Backup Lifecycle","使用可选 OSS 备份生命周期"
"Apply Recommended Jakarta Settings","应用推荐的雅加达配置"
"Recommended Jakarta settings applied.","已应用推荐的雅加达配置。"
"Jakarta ECS production configuration","雅加达 ECS 生产配置"
"Internet testing configuration","公网测试配置"
"Use an ECS Instance RAM Role and the Jakarta internal endpoint. No AccessKey is stored.","使用 ECS 实例 RAM 角色和雅加达内网 Endpoint，不保存 AccessKey。"
"Use the Jakarta public endpoint. AccessKey is allowed only for isolated Development or Staging tests and public traffic charges may apply.","使用雅加达公网 Endpoint。AccessKey 仅允许用于隔离的开发或预发布测试，并可能产生公网流量费用。"
"View","视图"
"Guided","引导模式"
"Advanced","高级模式"
"Live attachments are not backup archives.","实时附件不是备份压缩包。"
"Files uploaded through Frappe are stored immediately in the Attachment Bucket. Classification only assigns retention tags; unmatched files remain Standard.","通过 Frappe 上传的文件会立即存入 Attachment Bucket。分类只负责写入保留标签；未命中的文件保持 Standard。"
"View or Edit Detailed Rules","查看或编辑详细规则"
"Database backup is recommended","建议启用数据库备份"
"Local folder backups include only files still stored on this server. They do not include attachments already stored in the Attachment Bucket.","本地目录备份只包含仍保存在本服务器上的文件，不包含已经存入 Attachment Bucket 的附件。"
"Local file folders may contain regular attachments and can create large backup archives.","本地 files 目录可能包含普通附件，生成的备份压缩包可能很大。"
"Apply Recommended 30 Days","应用推荐的 30 天"
"Applying the recommended 30-day backup retention...","正在应用推荐的 30 天备份保留设置……"
"OSS database backup retention is now 30 days.","OSS 数据库备份保留期现为 30 天。"
"Attachment Storage","附件存储"
"Attachment Cold Storage","附件冷存储"
"Database Backups","数据库备份"
"Optional","可选"
"Needs Action","需要处理"
"Not Configured","未配置"
"{0} of {1} features ready","{1} 项功能中已有 {0} 项就绪"
"The assistant saves safely, runs the current Full Test, and enables the selected feature automatically.","助手会安全保存配置、运行当前完整测试，并自动启用所选功能。"
"Continue Setup","继续配置"
